a1	a2	a3	a4	a5	a6	a7	a8	a9	a10	target
1.0	-1.0	0.0	-1.0	0.0	1.0	0.0	1.0	1.0	-1.0	-1.6399999856948853
1.0	-1.0	0.0	0.0	0.0	1.0	-1.0	-1.0	1.0	1.0	-1.5299999713897705
-1.0	-1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.4500000476837158
-1.0	0.0	1.0	1.0	0.0	1.0	1.0	-1.0	0.0	-1.0	5.349999904632568
-1.0	1.0	0.0	-1.0	0.0	1.0	0.0	0.0	1.0	0.0	7.909999847412109
1.0	-1.0	-1.0	1.0	1.0	0.0	1.0	1.0	-1.0	0.0	1.5399999618530273
1.0	-1.0	-1.0	1.0	-1.0	0.0	-1.0	0.0	0.0	-1.0	-5.46999979019165
1.0	0.0	-1.0	1.0	-1.0	1.0	-1.0	0.0	-1.0	-1.0	-4.929999828338623
-1.0	-1.0	-1.0	0.0	0.0	-1.0	0.0	-1.0	0.0	-1.0	-1.659999966621399
1.0	0.0	0.0	1.0	0.0	0.0	-1.0	1.0	-1.0	-1.0	-3.930000066757202
-1.0	0.0	1.0	1.0	-1.0	1.0	1.0	1.0	-1.0	1.0	4.639999866485596
1.0	0.0	-1.0	-1.0	0.0	0.0	1.0	0.0	-1.0	-1.0	-0.019999999552965164
-1.0	1.0	1.0	-1.0	1.0	1.0	-1.0	0.0	0.0	0.0	9.670000076293945
1.0	1.0	1.0	-1.0	0.0	1.0	0.0	1.0	1.0	1.0	-0.5099999904632568
1.0	0.0	-1.0	1.0	1.0	-1.0	-1.0	0.0	-1.0	1.0	-1.75
1.0	0.0	1.0	0.0	-1.0	-1.0	1.0	1.0	-1.0	-1.0	-6.820000171661377
-1.0	-1.0	1.0	1.0	-1.0	-1.0	0.0	1.0	0.0	0.0	2.1500000953674316
-1.0	0.0	1.0	1.0	-1.0	1.0	1.0	0.0	1.0	1.0	5.21999979019165
-1.0	1.0	0.0	1.0	1.0	1.0	-1.0	-1.0	-1.0	0.0	5.199999809265137
-1.0	0.0	-1.0	0.0	0.0	0.0	-1.0	-1.0	-1.0	1.0	0.14000000059604645
-1.0	1.0	1.0	0.0	1.0	1.0	-1.0	1.0	1.0	-1.0	9.149999618530273
-1.0	0.0	0.0	-1.0	0.0	0.0	0.0	1.0	1.0	-1.0	1.6299999952316284
-1.0	0.0	-1.0	0.0	-1.0	1.0	0.0	-1.0	0.0	-1.0	2.0999999046325684
-1.0	-1.0	1.0	-1.0	1.0	1.0	0.0	-1.0	-1.0	-1.0	2.680000066757202
1.0	-1.0	-1.0	-1.0	0.0	1.0	1.0	1.0	1.0	-1.0	0.15000000596046448
1.0	0.0	0.0	-1.0	-1.0	-1.0	-1.0	0.0	1.0	-1.0	-9.640000343322754
1.0	1.0	-1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	4.920000076293945
1.0	1.0	-1.0	0.0	0.0	0.0	1.0	-1.0	1.0	1.0	0.15000000596046448
1.0	-1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	-1.0	-2.75
1.0	1.0	-1.0	-1.0	0.0	0.0	-1.0	1.0	0.0	0.0	-5.860000133514404
1.0	1.0	-1.0	-1.0	-1.0	1.0	-1.0	-1.0	0.0	1.0	-2.990000009536743
-1.0	-1.0	-1.0	0.0	0.0	1.0	0.0	0.0	-1.0	1.0	2.2300000190734863
-1.0	0.0	-1.0	1.0	1.0	-1.0	1.0	-1.0	1.0	-1.0	0.8100000023841858
-1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	-1.0	1.0	7.570000171661377
1.0	0.0	0.0	0.0	1.0	-1.0	-1.0	1.0	-1.0	0.0	-3.0199999809265137
1.0	-1.0	-1.0	0.0	1.0	0.0	1.0	1.0	-1.0	1.0	0.3799999952316284
1.0	-1.0	0.0	1.0	1.0	0.0	0.0	-1.0	0.0	-1.0	-2.3499999046325684
1.0	-1.0	-1.0	1.0	1.0	-1.0	-1.0	0.0	0.0	1.0	-3.9600000381469727
1.0	0.0	0.0	0.0	1.0	-1.0	1.0	0.0	1.0	0.0	-2.630000114440918
1.0	-1.0	-1.0	-1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.7300000190734863
-1.0	1.0	-1.0	1.0	1.0	0.0	0.0	-1.0	0.0	0.0	5.329999923706055
-1.0	-1.0	-1.0	0.0	1.0	0.0	-1.0	0.0	-1.0	-1.0	-0.7699999809265137
1.0	0.0	-1.0	0.0	-1.0	0.0	0.0	-1.0	1.0	-1.0	-5.329999923706055
-1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	5.670000076293945
1.0	1.0	-1.0	-1.0	-1.0	1.0	0.0	0.0	1.0	1.0	-4.400000095367432
1.0	0.0	0.0	1.0	1.0	1.0	-1.0	-1.0	1.0	0.0	0.7699999809265137
1.0	1.0	1.0	-1.0	0.0	-1.0	0.0	1.0	1.0	1.0	-7.449999809265137
-1.0	-1.0	0.0	-1.0	1.0	0.0	-1.0	1.0	-1.0	0.0	1.2899999618530273
1.0	1.0	-1.0	0.0	-1.0	-1.0	1.0	0.0	-1.0	1.0	-7.869999885559082
1.0	1.0	0.0	-1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.25
-1.0	-1.0	1.0	1.0	1.0	1.0	-1.0	-1.0	1.0	1.0	5.739999771118164
1.0	0.0	1.0	0.0	-1.0	-1.0	-1.0	0.0	-1.0	0.0	-8.039999961853027
1.0	1.0	1.0	1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-3.950000047683716
-1.0	0.0	-1.0	0.0	0.0	-1.0	-1.0	1.0	-1.0	1.0	-0.3199999928474426
1.0	-1.0	0.0	-1.0	0.0	1.0	0.0	0.0	1.0	-1.0	-1.190000057220459
1.0	-1.0	-1.0	-1.0	0.0	0.0	0.0	1.0	1.0	0.0	-3.2200000286102295
1.0	0.0	0.0	0.0	1.0	1.0	0.0	-1.0	-1.0	1.0	2.890000104904175
-1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	-1.0	4.670000076293945
