col_1	col_2	target
16.0	2.0999999046325684	52.0
17.0	4.800000190734863	91.0
17.0	4.099999904632568	66.0
17.0	4.0	71.0
17.0	4.0	75.0
17.0	4.400000095367432	81.0
17.0	4.099999904632568	77.0
17.0	4.300000190734863	74.0
17.0	4.0	70.0
17.0	3.9000000953674316	83.0
17.0	3.200000047683716	53.0
17.0	4.5	82.0
17.0	2.200000047683716	62.0
17.0	4.699999809265137	73.0
17.0	4.599999904632568	84.0
18.0	2.200000047683716	58.0
18.0	4.800000190734863	82.0
18.0	4.300000190734863	77.0
18.0	3.799999952316284	75.0
18.0	4.0	77.0
18.0	4.099999904632568	77.0
18.0	1.7999999523162842	53.0
18.0	4.400000095367432	75.0
18.0	4.0	78.0
18.0	2.200000047683716	51.0
18.0	5.099999904632568	81.0
18.0	1.899999976158142	52.0
18.0	5.0	76.0
18.0	4.400000095367432	73.0
19.0	4.5	84.0
19.0	3.799999952316284	72.0
19.0	4.300000190734863	89.0
19.0	4.400000095367432	75.0
19.0	2.200000047683716	57.0
19.0	4.800000190734863	81.0
19.0	1.899999976158142	49.0
19.0	4.699999809265137	87.0
19.0	1.7999999523162842	43.0
19.0	4.800000190734863	94.0
19.0	2.0	45.0
19.0	4.400000095367432	81.0
19.0	2.5	59.0
19.0	4.300000190734863	82.0
20.0	4.400000095367432	80.0
20.0	1.899999976158142	54.0
20.0	4.699999809265137	75.0
20.0	4.300000190734863	73.0
20.0	2.200000047683716	57.0
20.0	4.699999809265137	80.0
20.0	2.299999952316284	51.0
20.0	4.599999904632568	77.0
20.0	3.299999952316284	66.0
20.0	4.199999809265137	77.0
20.0	2.9000000953674316	60.0
20.0	4.599999904632568	86.0
20.0	3.299999952316284	62.0
20.0	4.199999809265137	75.0
20.0	2.5999999046325684	67.0
20.0	4.599999904632568	69.0
21.0	3.700000047683716	84.0
21.0	1.7999999523162842	58.0
21.0	4.699999809265137	90.0
21.0	4.5	82.0
21.0	4.5	71.0
21.0	4.800000190734863	80.0
21.0	2.0	51.0
21.0	4.800000190734863	80.0
21.0	1.899999976158142	62.0
21.0	4.699999809265137	84.0
21.0	2.0	51.0
21.0	5.099999904632568	81.0
21.0	4.300000190734863	83.0
21.0	4.800000190734863	84.0
22.0	3.0	72.0
22.0	2.0999999046325684	54.0
22.0	4.599999904632568	75.0
22.0	4.0	74.0
22.0	2.200000047683716	51.0
22.0	5.099999904632568	91.0
22.0	2.9000000953674316	60.0
22.0	4.300000190734863	80.0
22.0	2.0999999046325684	54.0
22.0	4.699999809265137	80.0
22.0	4.5	70.0
22.0	1.7000000476837158	60.0
22.0	4.199999809265137	86.0
22.0	4.300000190734863	78.0
23.0	1.7000000476837158	51.0
23.0	4.400000095367432	83.0
23.0	4.199999809265137	76.0
23.0	2.200000047683716	51.0
23.0	4.699999809265137	90.0
23.0	4.0	71.0
23.0	1.7999999523162842	49.0
23.0	4.699999809265137	88.0
23.0	1.7999999523162842	52.0
23.0	4.5	79.0
23.0	2.0999999046325684	61.0
23.0	4.199999809265137	81.0
23.0	2.0999999046325684	48.0
23.0	5.199999809265137	84.0
23.0	2.0	63.0
